Date,Daily Volume
2022/11/16 0:00,6206.419047
2022/11/17 0:00,7882.519154
2022/11/18 0:00,5283.617705
2022/11/19 0:00,4749.872278
2022/11/20 0:00,4792.018093
2022/11/21 0:00,6195.660807
2022/11/22 0:00,7408.207315
2022/11/23 0:00,6546.093146
2022/11/24 0:00,6600.327489
2022/11/25 0:00,4467.598514
2022/11/26 0:00,6662.601871
2022/11/27 0:00,6260.809621
2022/11/28 0:00,5424.768095
2022/11/29 0:00,6574.312954
2022/11/30 0:00,6455.952266
2022/12/1 0:00,7743.132155
2022/12/2 0:00,6721.554645
2022/12/3 0:00,4943.909541
2022/12/4 0:00,5476.358682
2022/12/5 0:00,6211.078615
2022/12/6 0:00,8009.154089
2022/12/7 0:00,10027.82385
2022/12/8 0:00,7964.460184
2022/12/9 0:00,6469.804875
2022/12/10 0:00,7076.271853
2022/12/11 0:00,6307.152636
2022/12/12 0:00,6871.134284
2022/12/13 0:00,7380.684386
2022/12/14 0:00,7325.417321
2022/12/15 0:00,6833.159602
2022/12/16 0:00,7016.912277
2022/12/17 0:00,7474.422668
2022/12/18 0:00,6156.954444
2022/12/19 0:00,6116.956627
2022/12/20 0:00,8213.147544
2022/12/21 0:00,8338.142285
2022/12/22 0:00,8143.981276
2022/12/23 0:00,9037.961729
2022/12/24 0:00,6061.015409
2022/12/25 0:00,5154.412925
2022/12/26 0:00,7178.823064
2022/12/27 0:00,9227.19762
2022/12/28 0:00,10300.55288
2022/12/29 0:00,9108.303248
2022/12/30 0:00,8371.410826
2022/12/31 0:00,7991.953246
